name,nation,pos,age,mp,starts,min,gls,gls,ast,ast,pk,crdy,crdr,xg,xg,xag,xag,team
Patrick Roberts,eng ENG,"MF,FW",28-224,1,0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,Sunderland
Brian Brobbey,nl NED,FW,23-228,1,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunderland
Marc Guiu,es ESP,FW,19-256,2,0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,Sunderland
Lutsharel Geertruida,nl NED,MF,25-061,1,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunderland
Chris Rigg,eng ENG,FW,18-091,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunderland
Harrison Jones,eng ENG,MF,20-266,0,0,,,,,,,,,,,,,Sunderland
Arthur Masuaku,cd COD,"DF,MF",31-314,0,0,,,,,,,,,,,,,Sunderland
Dan Neil,eng ENG,MF,23-278,0,0,,,,,,,,,,,,,Sunderland
Anthony Patterson,eng ENG,GK,25-130,0,0,,,,,,,,,,,,,Sunderland
Bertrand Traoré,bf BFA,"FW,MF",30-011,0,0,,,,,,,,,,,,,Sunderland
Tijjani Reijnders,nl NED,MF,27-050,4,4,360.0,1.0,0.25,1.0,0.25,0.0,1.0,0.0,0.7,0.17,0.3,0.08,Manchester-City
Erling Haaland,no NOR,FW,25-058,4,4,338.0,5.0,1.33,0.0,0.0,0.0,0.0,0.0,5.7,1.53,0.9,0.23,Manchester-City
Rúben Dias,pt POR,DF,28-126,4,3,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
James Trafford,eng ENG,GK,22-342,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
John Stones,eng ENG,DF,31-112,3,3,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Bernardo Silva,pt POR,MF,31-038,4,3,260.0,0.0,0.0,1.0,0.35,0.0,0.0,0.0,0.1,0.02,1.6,0.57,Manchester-City
Oscar Bobb,no NOR,"FW,MF",22-067,4,3,258.0,0.0,0.0,1.0,0.35,0.0,0.0,0.0,0.3,0.1,0.4,0.13,Manchester-City
Rayan Aït-Nouri,dz ALG,DF,24-103,3,3,202.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.2,0.09,Manchester-City
